group,n_units_used,n_excluded,mean_Tc,median_Tc,entry_coverage,bv_raw,noise_floor,bv_nc,crc_raw,crc_nc,pred_cell
Full panel,132,2,48.89393939393939,41.0,1.0,0.5852170794399377,0.36463313690669424,0.4408786635977742,0.14412781490591084,0.044439779940059945,B (Hierarchy)
OECD,28,0,81.32142857142857,86.0,1.0,0.3703018629077043,0.247462983696442,0.25899620719119826,0.1099443053878203,0.04884822027112492,B (Hierarchy)
Non-OECD non-SSA,69,2,43.56521739130435,40.0,1.0,0.6095954277091032,0.37220807068817285,0.4565389652341017,0.15782495782966063,0.04759619343414695,B (Hierarchy)
SSA,35,0,33.457142857142856,32.0,1.0,0.6014090627812996,0.40356118716974615,0.4162877869298623,0.15009293004867683,0.04649059708751452,B (Hierarchy)
