bv_raw,bv_nc,crc_raw,crc_nc,n_units_used,tag,dgp,rep,N,C,T_c,het_scale,nl_scale,factor_scale,bv_true
0.3743425503811166,0.10282138764299727,0.22451948384182188,0.0639905878127178,50,p1_T15,A,0,5,50,15,0.25,0.15,1.0,0.0
0.3754922316130648,0.08966003506603162,0.2255568635702712,0.06391173602094785,50,p1_T15,A,1,5,50,15,0.25,0.15,1.0,0.0
0.3753916717168307,0.09029919747971427,0.2242992823076442,0.06268426578814952,50,p1_T15,A,2,5,50,15,0.25,0.15,1.0,0.0
0.3683868949064935,0.04602851208736782,0.22750141404467464,0.0649416328674186,50,p1_T15,A,3,5,50,15,0.25,0.15,1.0,0.0
0.3518530186572405,0.05642597578675523,0.2277563482473025,0.06505086380219632,50,p1_T15,A,4,5,50,15,0.25,0.15,1.0,0.0
0.3581257106580887,0.08420894160290018,0.22492645410253617,0.06379309500644245,50,p1_T15,A,5,5,50,15,0.25,0.15,1.0,0.0
0.3597855690882832,0.050396371748065855,0.2259351316041205,0.06455556513637173,50,p1_T15,A,6,5,50,15,0.25,0.15,1.0,0.0
0.3548481281386073,0.049599185118522994,0.2248785133976077,0.06357506901495548,50,p1_T15,A,7,5,50,15,0.25,0.15,1.0,0.0
0.36953452844940415,0.07669947633581235,0.22839984200996855,0.0661624989957432,50,p1_T15,A,8,5,50,15,0.25,0.15,1.0,0.0
0.37070080089442664,0.08045750367760572,0.2266883198611736,0.06593896497146608,50,p1_T15,A,9,5,50,15,0.25,0.15,1.0,0.0
0.35821942289232395,0.06363050689957517,0.22781663911064168,0.0664965921148566,50,p1_T15,A,10,5,50,15,0.25,0.15,1.0,0.0
0.3519712761346193,0.038689449936765236,0.2242267526654222,0.0629708152454738,50,p1_T15,A,11,5,50,15,0.25,0.15,1.0,0.0
0.3592792599524883,0.04801913891606728,0.22107515003219178,0.060473609874449386,50,p1_T15,A,12,5,50,15,0.25,0.15,1.0,0.0
0.34923792470631254,0.04968699044210249,0.22530536022106284,0.06496322741257488,50,p1_T15,A,13,5,50,15,0.25,0.15,1.0,0.0
0.356639371378412,0.051650593027274636,0.22704801939821698,0.06616923555251532,50,p1_T15,A,14,5,50,15,0.25,0.15,1.0,0.0
0.3511680813381928,0.06003240892979801,0.2262389334218172,0.06436854087899758,50,p1_T15,A,15,5,50,15,0.25,0.15,1.0,0.0
0.37243132714257654,0.08226967168360172,0.22849890419427513,0.06635883775957205,50,p1_T15,A,16,5,50,15,0.25,0.15,1.0,0.0
0.35531884142069164,0.07395476501673698,0.22614209594943338,0.0645840271659369,50,p1_T15,A,17,5,50,15,0.25,0.15,1.0,0.0
0.3741436583894772,0.09188922065029315,0.22824667958909778,0.06544748555117601,50,p1_T15,A,18,5,50,15,0.25,0.15,1.0,0.0
0.3820760325385673,0.09799467064796691,0.22677459553202595,0.06375134600905899,50,p1_T15,A,19,5,50,15,0.25,0.15,1.0,0.0
0.3552910443227803,0.04574298297960979,0.22530431742872567,0.06448350297112093,50,p1_T15,A,20,5,50,15,0.25,0.15,1.0,0.0
0.36610721649055766,0.04094597787409115,0.22794446484996758,0.06556363895264469,50,p1_T15,A,21,5,50,15,0.25,0.15,1.0,0.0
0.34636353519954854,0.04456002410408809,0.22575161169114039,0.0647408901852095,50,p1_T15,A,22,5,50,15,0.25,0.15,1.0,0.0
0.3653224319546532,0.048142539145793625,0.2271589192398714,0.06487926167971525,50,p1_T15,A,23,5,50,15,0.25,0.15,1.0,0.0
0.3566152146563298,0.06942534933105315,0.22361663368810755,0.06320027706002378,50,p1_T15,A,24,5,50,15,0.25,0.15,1.0,0.0
0.36739309710482637,0.08042356143411858,0.22873749710102634,0.067363280011828,50,p1_T15,A,25,5,50,15,0.25,0.15,1.0,0.0
0.3773075660400453,0.06388097386178523,0.22802175390557233,0.06629984388147248,50,p1_T15,A,26,5,50,15,0.25,0.15,1.0,0.0
0.3548852615839161,0.05449296147836079,0.22672398459603146,0.06375109878360571,50,p1_T15,A,27,5,50,15,0.25,0.15,1.0,0.0
0.36112078023337335,0.07716847784213483,0.2266050355211234,0.06399920903274967,50,p1_T15,A,28,5,50,15,0.25,0.15,1.0,0.0
0.3677129906144407,0.1098947659914763,0.22771067172284207,0.06368145312144426,50,p1_T15,A,29,5,50,15,0.25,0.15,1.0,0.0
0.3708906440909378,0.060348104809936076,0.2270576021286988,0.06447579116652899,50,p1_T15,A,30,5,50,15,0.25,0.15,1.0,0.0
0.3571609094577311,0.07763909395298572,0.22789166760865287,0.0653731852407388,50,p1_T15,A,31,5,50,15,0.25,0.15,1.0,0.0
0.38236921846288424,0.10596887377301473,0.2259592024424842,0.06359231226804014,50,p1_T15,A,32,5,50,15,0.25,0.15,1.0,0.0
0.38037941849978585,0.10231814696091018,0.2261140294626495,0.06434279084023053,50,p1_T15,A,33,5,50,15,0.25,0.15,1.0,0.0
