bv_raw,bv_nc,crc_raw,crc_nc,n_units_used,tag,dgp,rep,N,C,T_c,het_scale,nl_scale,factor_scale,bv_true,pred_raw,pred_nc
0.16404907362533452,0.032236443288053446,0.1281688293451553,0.037250132582131966,50,val_base,A,0,5,50,40,0.25,0.15,1.0,0.0,A,A
0.1674292140509055,0.02970372161405875,0.13019312716084555,0.0390856270753145,50,val_base,A,1,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17223056312889626,0.026037793910919226,0.1319102373081821,0.03952084605517027,50,val_base,A,2,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17115228671706523,0.03505575630340603,0.12941235239140053,0.03776418992799612,50,val_base,A,3,5,50,40,0.25,0.15,1.0,0.0,A,A
0.16983421781362726,0.04339124730769811,0.13047422614761914,0.038817859607169276,50,val_base,A,4,5,50,40,0.25,0.15,1.0,0.0,A,A
0.16940179513152004,0.027355389574566392,0.13074077190702105,0.03902666813491992,50,val_base,A,5,5,50,40,0.25,0.15,1.0,0.0,A,A
0.16684356885973112,0.030274761252209154,0.13189023361038857,0.03887107467431105,50,val_base,A,6,5,50,40,0.25,0.15,1.0,0.0,A,A
0.16698425961559787,0.025829613278243926,0.1310024402051771,0.039281786888971146,50,val_base,A,7,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17453240162731995,0.04186443762858298,0.1308975410434824,0.03928652239150562,50,val_base,A,8,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17176094788138688,0.03370900201840387,0.1284210852668937,0.037439267513380156,50,val_base,A,9,5,50,40,0.25,0.15,1.0,0.0,A,A
0.16191626551585675,0.019270262046977394,0.12888365393078638,0.03774545803607552,50,val_base,A,10,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17330670509107993,0.03519129636276089,0.12787809245622625,0.036845414202183596,50,val_base,A,11,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17259928468570912,0.04715843106452226,0.1305221639476849,0.03880813246765604,50,val_base,A,12,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17873816010014745,0.0443631758124617,0.1290383221180249,0.038302067829893365,50,val_base,A,13,5,50,40,0.25,0.15,1.0,0.0,A,A
0.17185407301179687,0.033472408901523386,0.1296463920433122,0.03820815708426991,50,val_base,A,14,5,50,40,0.25,0.15,1.0,0.0,A,A
