arm,rep,block_T,n_units,mse_hn,mse_poolB,gap,win,delta_mag,tau2_learned,bv_nc,noise_floor,snr
mixed,4,80,10,0.5789110481739044,0.7504267245531082,-0.17151567637920379,0.8,0.22137733101844786,0.8896064758300781,0.16513024576285168,0.10220360305052514,1.6156988680841151
homog80,4,80,30,0.7077087422211965,0.8747995396455129,-0.1670907974243164,0.8,0.18246782099207243,0.850149393081665,0.17640881965548807,0.10236747694823639,1.7232897099211673
homog40,4,40,30,0.8562212566534678,0.8867069552342097,-0.030485698580741884,0.5,0.21337750256061555,0.849885106086731,0.17660651049916928,0.1562986055628045,1.1299301734858063
homog25,4,25,30,0.8867460399866104,0.9615967005491257,-0.07485066056251526,0.6333333333333333,0.2515373297035694,0.8868499398231506,0.19279546306982176,0.2144908017727376,0.8988518923720421
mixed,5,25,10,0.9025495886802674,0.9212810277938843,-0.018731439113616945,0.7,0.25362165123224256,0.8238154649734497,0.17205857248260442,0.22079502054093336,0.7792683551516342
mixed,5,40,10,0.698325765132904,0.7933935701847077,-0.0950678050518036,0.9,0.18503299728035927,0.8238154649734497,0.14646985424972006,0.15421648893614887,0.949767792407489
mixed,5,80,10,0.6893805772066116,0.7995684236288071,-0.11018784642219544,0.7,0.16268809735774994,0.8238154649734497,0.14104994227863843,0.10286546333860748,1.371207961357615
homog80,5,80,30,0.7403878579537074,0.8899047722419103,-0.14951691428820293,0.9,0.14770224690437317,0.7714841961860657,0.15152365141827415,0.10335710315092365,1.4660206874898278
homog40,5,40,30,0.7406778951485952,0.8090305005510648,-0.06835260540246964,0.7333333333333333,0.2099905806283156,0.8363679051399231,0.1483232489757207,0.1538878212917837,0.9638400734421204
homog25,5,25,30,0.7567374234398206,0.8261292616526286,-0.06939183821280798,0.6,0.27493851333856584,0.9217175841331482,0.1767915821368236,0.21506336397559736,0.8220441588409435
mixed,6,25,10,1.0522576332092286,1.7669757962226869,-0.7147181630134583,0.6,0.2536382608115673,0.8206381797790527,0.16720627802308488,0.2083069578122272,0.8026917572950615
mixed,6,40,10,0.6932900279760361,0.7254128128290176,-0.03212278485298157,0.7,0.18826794549822806,0.8206381797790527,0.12314492162050282,0.15605541373220672,0.7891102184498465
mixed,6,80,10,0.7156773686408997,0.7531356513500214,-0.0374582827091217,0.7,0.16072296351194382,0.8206381797790527,0.1390172362461137,0.10434135894198807,1.3323310876505337
homog80,6,80,30,0.32794942408800126,0.5777912939588229,-0.24984186987082163,0.7333333333333333,0.15720844448854526,0.7985474467277527,0.14659393801690054,0.1118039519657676,1.3111695556323897
homog40,6,40,30,0.7263178735971451,1.056617299715678,-0.3302994261185328,0.5333333333333333,0.1936443931112687,0.8288015723228455,0.14805839781975919,0.162277555729699,0.9123775444730985
homog25,6,25,30,0.6778341462214788,0.7059643576542537,-0.028130211432774863,0.43333333333333335,0.2659234074254831,0.874183177947998,0.14048525984972426,0.2188897729189687,0.6418082397194995
mixed,7,25,10,0.7988334476947785,0.7181805938482284,0.08065285384655,0.3,0.26482591181993487,0.7872075438499451,0.11044311053444406,0.22918076837016815,0.4819039194251176
mixed,7,40,10,0.9310574650764465,0.9425980061292648,-0.011540541052818298,0.4,0.15041283890604973,0.7872075438499451,0.09570852510210698,0.16621121702670583,0.5758247055415586
mixed,7,80,10,0.7222484886646271,0.8188885092735291,-0.09664002060890198,0.7,0.16756460145115853,0.7872075438499451,0.1127526861243262,0.10531597481035171,1.0706133264907456
homog80,7,80,30,0.7793832321961721,0.8002834935983022,-0.020900261402130128,0.6333333333333333,0.1479302500685056,0.7265113592147827,0.120026591118989,0.10760616995702152,1.1154248047944488
homog40,7,40,30,0.9996082315842311,1.003371000289917,-0.0037627687056859334,0.4666666666666667,0.19086182142297428,0.7732617259025574,0.11695247785012626,0.16385646138879914,0.7137495638491853
homog25,7,25,30,1.0479209383328756,1.0103602359692256,0.03756070236365001,0.4,0.25106422901153563,0.872722327709198,0.13627749199816835,0.2185800996443678,0.6234670595351238
