T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold
15,0.05,0,20,0.3160958592175901,4.741437888263851,0.5611594915390015,0,0.049501363146925166,0.7853535353535352,0.752020202020202,0.640909090909091,0.5186868686868686,-0.11111111111111105,0.12222222222222234,0.9749336373060942,0.9950480930507183,0.9661533918231726,0.9810756623744965,-0.02889470122754567,-0.01492227055132389
15,0.05,1,20,0.32602286744047154,4.890343011607073,0.7511866688728333,0,0.051319522535390585,0.8055555555555556,0.7388888888888889,0.6434343434343434,0.5499999999999999,-0.09545454545454557,0.09343434343434343,0.9346214137971401,0.9825693652033806,0.9904470451176166,1.0957712322473525,0.007877679914236047,-0.1053241871297359
15,0.05,2,20,0.3462614031574205,5.193921047361307,0.6871976256370544,0,0.050194397869439786,0.835,0.8215,0.7055,0.48649999999999993,-0.11599999999999999,0.21900000000000008,1.0205671548843385,1.0213062465190887,1.0894822582602501,1.1377878874540328,0.06817601174116139,-0.04830562919378267
15,0.05,3,20,0.33822807511399994,5.073421126709999,0.751799464225769,0,0.03981446443270935,0.8357142857142857,0.8554945054945057,0.660989010989011,0.5005494505494505,-0.1945054945054947,0.16043956043956042,0.9706904947757721,0.9490036055445671,1.0700988478958606,1.0929875425994395,0.12109524235129354,-0.022888694703578905
15,0.05,4,20,0.3253646382644322,4.880469573966483,0.6860970854759216,0,0.0449400163299666,0.8146464646464647,0.8095959595959595,0.6848484848484848,0.5383838383838383,-0.12474747474747472,0.14646464646464652,0.7849783975630998,0.8078301787376404,0.8691235620528459,0.9393844619393349,0.06129338331520551,-0.07026089988648898
15,0.05,5,20,0.3269433637212032,4.904150455818048,0.7048250436782837,0,0.04181737596399592,0.7631868131868134,0.8153846153846155,0.7335164835164836,0.5571428571428572,-0.08186813186813191,0.1763736263736264,0.800334619730711,0.8630684658885002,1.0223418742418289,1.1766972795128823,0.1592734083533287,-0.1543554052710534
15,0.05,6,20,0.35275960704147713,5.291394105622157,0.6236695051193237,0,0.035799577416550515,0.9745098039215687,0.8892156862745099,0.6990196078431371,0.5450980392156863,-0.19019607843137276,0.15392156862745077,0.9107750885188579,0.9696392804384232,1.0036683604121208,1.0862044870853425,0.03402907997369764,-0.08253612667322163
15,0.05,7,20,0.3108384878695657,4.6625773180434855,0.5862626433372498,0,0.04299345586715923,0.9011904761904764,0.8857142857142856,0.7363095238095239,0.5464285714285715,-0.1494047619047617,0.18988095238095237,0.7850942268967629,0.848697978258133,0.8935129459947347,0.9454376131296158,0.04481496773660176,-0.051924667134881086
15,0.25,0,20,0.332368336359681,4.985525045395215,0.6171352863311768,0,0.2427373171986739,0.9176767676767679,0.8808080808080808,0.6954545454545453,0.5181818181818182,-0.1853535353535355,0.17727272727272714,0.7987637102603913,0.811855335906148,0.9223807252943516,1.0103234082460404,0.11052538938820355,-0.08794268295168883
15,0.25,1,20,0.3546049287099736,5.319073930649604,0.5939849615097046,0,0.21295479693007846,0.9989583333333332,0.9713541666666666,0.7807291666666666,0.5083333333333332,-0.19062500000000004,0.2723958333333334,0.9069871991872788,0.9253136917948723,1.075722612440586,1.1160206332802773,0.15040892064571376,-0.04029802083969125
15,0.25,2,20,0.3372691591406862,5.059037387110293,0.7588461637496948,0,0.19853567199343386,0.85,0.7880952380952382,0.6553571428571427,0.5392857142857144,-0.13273809523809543,0.11607142857142838,1.0026510417461396,1.0617803424596786,1.1602275647222995,1.2807702377438546,0.09844722226262093,-0.12054267302155508
15,0.25,3,20,0.31396878458663385,4.709531768799508,0.851042628288269,0,0.22089982821406248,0.8713541666666667,0.8369791666666668,0.6989583333333333,0.5057291666666667,-0.13802083333333348,0.19322916666666667,0.8151425950229167,0.8235284425318241,0.9680187344551087,1.0820324882864951,0.14449029192328455,-0.11401375383138646
15,0.25,4,20,0.3307965294181644,4.961947941272466,0.7087734937667847,0,0.22333318165635854,0.8175824175824177,0.7615384615384616,0.6868131868131868,0.5516483516483516,-0.07472527472527479,0.13516483516483524,0.879261333681643,0.9166350421495736,1.0789025287143885,1.191057994775474,0.16226748656481493,-0.11215546606108551
15,0.25,5,20,0.3115169592041279,4.672754388061919,0.9019179344177246,0,0.22271812235901148,0.931818181818182,0.9434343434343433,0.7388888888888888,0.5136363636363636,-0.20454545454545447,0.22525252525252526,0.9033909037709236,0.934199508279562,0.9920939438045024,1.0607147634029388,0.057894435524940446,-0.06862081959843636
15,0.25,6,20,0.3145045393927839,4.717568090891758,0.7326716184616089,0,0.20750086850071142,0.8285714285714286,0.8565934065934068,0.6906593406593406,0.5159340659340659,-0.16593406593406612,0.17472527472527477,0.7940913699567318,0.8474249802529812,0.9439866796135903,0.9638478394597769,0.0965616993606091,-0.019861159846186638
15,0.25,7,20,0.3313064509781403,4.969596764672104,0.9167003631591797,0,0.23675585074838018,0.997979797979798,0.9525252525252522,0.748989898989899,0.5525252525252526,-0.20353535353535324,0.19646464646464634,0.9202145542949438,1.000405252352357,1.1354314852505922,1.2467456500977279,0.13502623289823523,-0.11131416484713563
15,1.0,0,20,0.32372883445121453,4.855932516768218,1.1251047849655151,0,0.7721116158785745,0.7833333333333334,0.8426666666666666,0.748,0.5833333333333333,-0.09466666666666657,0.16466666666666674,0.9449283391237259,0.9717033118009567,1.0309559606015681,1.0521637082099915,0.05925264880061143,-0.021207747608423366
15,1.0,1,20,0.33665160445459175,5.049774066818876,1.0389236211776733,0,0.8804139984462424,0.8776041666666666,0.8953125000000002,0.7916666666666666,0.5765625,-0.10364583333333355,0.21510416666666665,0.7616287240758538,0.8943306848406791,0.8172672174870967,0.9293437294661999,-0.07706346735358238,-0.11207651197910318
15,1.0,2,20,0.34139957687242267,5.12099365308634,1.063357949256897,0,0.9790733319234606,0.8474999999999999,0.9019999999999999,0.7914999999999999,0.5720000000000001,-0.11050000000000004,0.2194999999999998,0.7399043381214142,0.7819720081984997,0.7220592282712459,0.8453209772706032,-0.059912779927253745,-0.12326174899935727
15,1.0,3,20,0.3750015088960941,5.625022633441412,1.0388044118881226,0,0.9185641724649878,0.8373737373737373,0.788888888888889,0.7191919191919192,0.5601010101010101,-0.06969696969696981,0.15909090909090906,0.8441739762201905,0.9120244761928916,1.0183446113020183,1.1811862118542193,0.10632013510912663,-0.1628416005522011
15,1.0,4,20,0.37161170593328846,5.574175588999327,0.9301467537879944,0,0.884340291468335,0.9296875,0.8546875,0.7265625,0.5494791666666666,-0.12812500000000004,0.17708333333333337,0.8459640808403492,0.8896290004253388,0.7906246911734343,0.8063586676493287,-0.09900430925190451,-0.015733976475894473
15,1.0,5,20,0.3562083450281197,5.343125175421796,0.7756450772285461,0,0.6912597621148394,0.9796875,0.978125,0.81484375,0.4734375,-0.16328125000000004,0.34140624999999997,0.7766869880259037,0.8218283131718636,0.8907762579619884,0.9514145210385323,0.0689479447901249,-0.06063826307654385
15,1.0,6,20,0.3551343478935706,5.3270152184035595,0.9932412505149841,0,0.8465712461873791,0.8151041666666667,0.8213541666666668,0.753125,0.5807291666666666,-0.06822916666666679,0.17239583333333341,1.0881994798779488,1.1858134776353837,0.9613116651773452,1.0393690504133701,-0.22450181245803846,-0.0780573852360249
15,1.0,7,20,0.356217629143767,5.343264437156504,1.0263829231262207,3,0.8354194773871267,0.8619791666666667,0.8052083333333334,0.7255208333333333,0.534375,-0.07968750000000013,0.19114583333333324,1.222072099149227,1.3079861246049405,1.132994793727994,1.2418268740177154,-0.1749913308769464,-0.10883208028972136
