T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold,bv_raw,bv_nc,noise_floor,crc_nc,win,tc_x_bvnc,snr,tc_x_snr
15,0.05,0,20,0.3160958592175901,4.741437888263851,0.5611594915390015,0,0.0495013631469251,0.7853535353535352,0.752020202020202,0.640909090909091,0.5186868686868686,-0.111111111111111,0.1222222222222223,0.9749336373060942,0.9950480930507184,0.9661533918231726,0.9810756623744964,-0.0288947012275456,-0.0149222705513238,0.3552198385209648,0.037557525638630164,0.37612066338709205,0.06604246533108087,1,0.5633628845794525,0.09985499148175513,1.497824872226327
15,0.05,1,20,0.3260228674404715,4.890343011607073,0.7511866688728333,0,0.0513195225353905,0.8055555555555556,0.7388888888888889,0.6434343434343434,0.5499999999999999,-0.0954545454545455,0.0934343434343434,0.93462141379714,0.9825693652033806,0.9904470451176166,1.0957712322473523,0.007877679914236,-0.1053241871297359,0.3691488331546728,0.10971512267153477,0.359332156283673,0.06137893549060564,0,1.6457268400730216,0.3053306550859331,4.579959826288997
15,0.05,2,20,0.3462614031574205,5.193921047361307,0.6871976256370544,0,0.0501943978694397,0.835,0.8215,0.7055,0.4864999999999999,-0.1159999999999999,0.219,1.0205671548843385,1.0213062465190887,1.08948225826025,1.1377878874540328,0.0681760117411613,-0.0483056291937826,0.3959741420278956,0.11914874688504844,0.3884412967816084,0.06474841191013814,0,1.7872312032757265,0.3067355295954459,4.601032943931688
15,0.05,3,20,0.3382280751139999,5.073421126709999,0.751799464225769,0,0.0398144644327093,0.8357142857142857,0.8554945054945057,0.660989010989011,0.5005494505494505,-0.1945054945054947,0.1604395604395604,0.970690494775772,0.9490036055445672,1.0700988478958606,1.0929875425994395,0.1210952423512935,-0.0228886947035789,0.3867206155226067,0.116354949179894,0.371805435914971,0.06102764822297702,0,1.74532423769841,0.3129457989057037,4.694186983585555
15,0.05,4,20,0.3253646382644322,4.880469573966483,0.6860970854759216,0,0.0449400163299666,0.8146464646464647,0.8095959595959595,0.6848484848484848,0.5383838383838383,-0.1247474747474747,0.1464646464646465,0.7849783975630998,0.8078301787376404,0.8691235620528459,0.9393844619393348,0.0612933833152055,-0.0702608998864889,0.36523561660729054,0.07877623970135794,0.37410411372445423,0.0682309354739055,0,1.1816435955203692,0.21057303785592812,3.1585955678389217
15,0.05,5,20,0.3269433637212032,4.904150455818048,0.7048250436782837,0,0.0418173759639959,0.7631868131868134,0.8153846153846155,0.7335164835164836,0.5571428571428572,-0.0818681318681319,0.1763736263736264,0.800334619730711,0.8630684658885002,1.0223418742418289,1.1766972795128825,0.1592734083533287,-0.1543554052710534,0.3706291731333898,0.11507954830725403,0.35463822598954825,0.0656794135530364,0,1.7261932246088105,0.3244984321307924,4.867476481961885
15,0.05,6,20,0.3527596070414771,5.291394105622157,0.6236695051193237,0,0.0357995774165505,0.9745098039215688,0.8892156862745099,0.6990196078431371,0.5450980392156863,-0.1901960784313727,0.1539215686274507,0.910775088518858,0.9696392804384232,1.0036683604121208,1.0862044870853425,0.0340290799736976,-0.0825361266732216,0.3713320637527844,0.10536396516583185,0.3577749121127315,0.07198192876679596,0,1.5804594774874778,0.2944979136285349,4.417468704428023
15,0.05,7,20,0.3108384878695657,4.6625773180434855,0.5862626433372498,0,0.0429934558671592,0.9011904761904764,0.8857142857142856,0.7363095238095239,0.5464285714285715,-0.1494047619047617,0.1898809523809523,0.7850942268967629,0.848697978258133,0.8935129459947347,0.9454376131296158,0.0448149677366017,-0.051924667134881,0.3340002760936918,0.04547104505160546,0.3616983026856928,0.06654862337618919,0,0.6820656757740818,0.1257153951621352,1.885730927432028
15,0.25,0,20,0.332368336359681,4.985525045395215,0.6171352863311768,0,0.2427373171986739,0.917676767676768,0.8808080808080808,0.6954545454545453,0.5181818181818182,-0.1853535353535355,0.1772727272727271,0.7987637102603913,0.811855335906148,0.9223807252943516,1.0103234082460404,0.1105253893882035,-0.0879426829516888,0.3623314700590011,0.11488813256997041,0.3557279154249548,0.06339200971311115,0,1.723321988549556,0.32296631101532847,4.844494665229927
15,0.25,1,20,0.3546049287099736,5.319073930649604,0.5939849615097046,0,0.2129547969300784,0.9989583333333332,0.9713541666666666,0.7807291666666666,0.5083333333333332,-0.190625,0.2723958333333334,0.9069871991872788,0.9253136917948724,1.075722612440586,1.1160206332802771,0.1504089206457137,-0.0402980208396912,0.3919527199434536,0.11757249935702958,0.3784823784002985,0.06303151848280658,0,1.7635874903554438,0.3106419375558882,4.659629063338323
15,0.25,2,20,0.3372691591406862,5.059037387110293,0.7588461637496948,0,0.1985356719934338,0.85,0.7880952380952382,0.6553571428571427,0.5392857142857144,-0.1327380952380954,0.1160714285714283,1.0026510417461396,1.0617803424596786,1.1602275647222997,1.2807702377438546,0.0984472222626209,-0.120542673021555,0.3635118032185801,0.08495593071235312,0.3667458709258319,0.06525376819231492,0,1.2743389606852968,0.23164795420296364,3.4747193130444547
15,0.25,3,20,0.3139687845866338,4.709531768799508,0.851042628288269,0,0.2208998282140624,0.8713541666666667,0.8369791666666668,0.6989583333333333,0.5057291666666667,-0.1380208333333334,0.1932291666666666,0.8151425950229167,0.8235284425318241,0.9680187344551088,1.0820324882864951,0.1444902919232845,-0.1140137538313864,0.3643119555990884,0.06621316638809162,0.3822795242074209,0.06086500792415544,0,0.9931974958213743,0.17320615464658012,2.598092319698702
15,0.25,4,20,0.3307965294181644,4.961947941272466,0.7087734937667847,0,0.2233331816563585,0.8175824175824177,0.7615384615384616,0.6868131868131868,0.5516483516483516,-0.0747252747252747,0.1351648351648352,0.879261333681643,0.9166350421495736,1.0789025287143883,1.191057994775474,0.1622674865648149,-0.1121554660610855,0.3662124759088117,0.11591195016421063,0.34320929512830345,0.05965626884642844,0,1.7386792524631596,0.3377296355591965,5.065944533387947
15,0.25,5,20,0.3115169592041279,4.672754388061919,0.9019179344177246,0,0.2227181223590114,0.931818181818182,0.9434343434343432,0.7388888888888888,0.5136363636363636,-0.2045454545454544,0.2252525252525252,0.9033909037709236,0.934199508279562,0.9920939438045024,1.0607147634029388,0.0578944355249404,-0.0686208195984363,0.3455773098443224,0.06371294931006571,0.3892471340518518,0.06527335536464349,0,0.9556942396509858,0.16368251359193947,2.4552377038790922
15,0.25,6,20,0.3145045393927839,4.717568090891758,0.7326716184616089,0,0.2075008685007114,0.8285714285714286,0.8565934065934068,0.6906593406593406,0.5159340659340659,-0.1659340659340661,0.1747252747252747,0.7940913699567318,0.8474249802529812,0.9439866796135904,0.9638478394597768,0.0965616993606091,-0.0198611598461866,0.35679074098035884,0.09710075167843503,0.3604265110071176,0.06851756288815092,0,1.4565112751765255,0.26940513173437874,4.041076976015681
