country_id,country_name,regime,T_c,polyarchy_last,delta_norm,pool_score_norm,mse_pool_A,mse_pool_B,mse_hnavar,mse_cold,tau2_learned,BV,CRC,seed
3,Mexico,hybrid,92,0.691,0.010870768688619137,0.012298697605729103,0.04578123986721039,0.09154117107391357,0.042169056832790375,0.14126545190811157,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
5,Sweden,democracy,92,0.914,0.007493564859032631,0.008370538242161274,0.02633782848715782,0.20778748393058777,0.05239587277173996,0.09320412576198578,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
6,Switzerland,democracy,92,0.888,0.004785423167049885,0.005392091814428568,0.03140049800276756,0.2000735104084015,0.05406733229756355,0.10790673643350601,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
7,Ghana,democracy,27,0.733,0.008686094544827938,0.009573336690664291,0.03746022284030914,0.1313319057226181,0.07483986020088196,0.09240538626909256,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
8,South Africa,democracy,75,0.745,0.008427336812019348,0.009372645989060402,0.021967394277453423,0.07252321392297745,0.15215934813022614,0.024151554331183434,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
9,Japan,democracy,86,0.842,0.009841077961027622,0.010778075084090233,0.011020566336810589,0.1559096723794937,0.031925879418849945,0.06299277395009995,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
12,Albania,hybrid,74,0.484,0.01006297767162323,0.011643048375844955,0.043033137917518616,0.06383213400840759,0.08293724805116653,0.2000529021024704,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
13,Egypt,authoritarian,35,0.208,0.003951522056013346,0.004587716888636351,0.06059125438332558,0.1089489609003067,0.07636027783155441,0.11685338616371155,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
15,Colombia,hybrid,88,0.532,0.010394738987088203,0.011947045102715492,0.20396029949188232,0.2290830910205841,0.12266551703214645,0.13023105263710022,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
17,Poland,democracy,76,0.881,0.01131761446595192,0.012355654500424862,0.04962882399559021,0.11677030473947525,0.08814887702465057,0.06977101415395737,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
