country_id,country_name,regime,T_c,polyarchy_last,delta_norm,pool_score_norm,mse_pool_A,mse_pool_B,mse_hnavar,mse_cold,tau2_learned,BV,CRC,seed
3,Mexico,hybrid,92,0.691,0.010789425112307072,0.01265101321041584,0.04117881506681442,0.10436205565929413,0.04540839046239853,0.17225654423236847,0.78351891040802,0.5638879781768867,0.15845021215463878,123
5,Sweden,democracy,92,0.914,0.00690261647105217,0.008027566596865654,0.025936640799045563,0.21212580800056458,0.0519927442073822,0.048492200672626495,0.78351891040802,0.5638879781768867,0.15845021215463878,123
6,Switzerland,democracy,92,0.888,0.004464198835194111,0.005230701062828302,0.02773183211684227,0.2586356997489929,0.058542534708976746,0.11465905606746674,0.78351891040802,0.5638879781768867,0.15845021215463878,123
7,Ghana,democracy,27,0.733,0.008325362578034401,0.009693973697721958,0.03493020310997963,0.14422596991062164,0.06501579284667969,0.128435879945755,0.78351891040802,0.5638879781768867,0.15845021215463878,123
8,South Africa,democracy,75,0.745,0.007879951037466526,0.009179061278700829,0.017720689997076988,0.05969373509287834,0.17764312028884888,0.03587973862886429,0.78351891040802,0.5638879781768867,0.15845021215463878,123
9,Japan,democracy,86,0.842,0.009232848882675171,0.010413511656224728,0.013575379736721516,0.16359400749206543,0.030916057527065277,0.07034750282764435,0.78351891040802,0.5638879781768867,0.15845021215463878,123
12,Albania,hybrid,74,0.484,0.010234544053673744,0.012219664640724659,0.03579956293106079,0.0752754658460617,0.08341585099697113,0.16300125420093536,0.78351891040802,0.5638879781768867,0.15845021215463878,123
13,Egypt,authoritarian,35,0.208,0.0038721500895917416,0.004828794859349728,0.05774804949760437,0.17794044315814972,0.09174593538045883,0.11473621428012848,0.78351891040802,0.5638879781768867,0.15845021215463878,123
15,Colombia,hybrid,88,0.532,0.00996466912329197,0.011751614511013031,0.19128939509391785,0.2020910233259201,0.1440833956003189,0.14189928770065308,0.78351891040802,0.5638879781768867,0.15845021215463878,123
17,Poland,democracy,76,0.881,0.010809943079948425,0.012264602817595005,0.046923454850912094,0.11529743671417236,0.07413715869188309,0.06817427277565002,0.78351891040802,0.5638879781768867,0.15845021215463878,123
19,Brazil,democracy,86,0.855,0.011599123477935791,0.013329166918992996,0.08832298964262009,0.12990044057369232,0.10478892922401428,0.14912152290344238,0.78351891040802,0.5638879781768867,0.15845021215463878,123
20,United States of America,democracy,92,0.827,0.006541060283780098,0.007546497508883476,0.04514666274189949,0.17527133226394653,0.08417243510484695,0.12522706389427185,0.78351891040802,0.5638879781768867,0.15845021215463878,123
21,Portugal,democracy,86,0.883,0.014805082231760025,0.017031515017151833,0.06315862387418747,0.17482151091098785,0.09286502748727798,0.08316371589899063,0.78351891040802,0.5638879781768867,0.15845021215463878,123
22,El Salvador,hybrid,70,0.547,0.010453215800225735,0.012635808438062668,0.020561473444104195,0.11646293103694916,0.08057703822851181,0.019963689148426056,0.78351891040802,0.5638879781768867,0.15845021215463878,123
24,Bangladesh,hybrid,24,0.503,0.006466279271990061,0.007639529183506966,0.014594032429158688,0.13065685331821442,0.08277317136526108,0.21216879785060883,0.78351891040802,0.5638879781768867,0.15845021215463878,123
25,Bolivia,democracy,80,0.729,0.011065592989325523,0.013004440814256668,0.33992481231689453,0.27257704734802246,0.2603131830692291,0.301778107881546,0.78351891040802,0.5638879781768867,0.15845021215463878,123
26,Haiti,hybrid,54,0.41,0.006865161005407572,0.00807150173932314,0.1310342699289322,0.14288637042045593,0.22559309005737305,0.09214702248573303,0.78351891040802,0.5638879781768867,0.15845021215463878,123
27,Honduras,hybrid,33,0.555,0.007336031179875135,0.008656753227114677,0.11949165165424347,0.11993052810430527,0.11221246421337128,0.20198996365070343,0.78351891040802,0.5638879781768867,0.15845021215463878,123
28,Mali,hybrid,33,0.595,0.010327518917620182,0.012236787006258965,0.018106836825609207,0.07139679044485092,0.06504900008440018,0.052621789276599884,0.78351891040802,0.5638879781768867,0.15845021215463878,123
29,Pakistan,authoritarian,38,0.236,0.006527120713144541,0.007897461764514446,0.05480581149458885,0.1566774845123291,0.1066063866019249,0.14713259041309357,0.78351891040802,0.5638879781768867,0.15845021215463878,123
30,Peru,democracy,71,0.798,0.010598010383546352,0.012812202796339989,0.10077258944511414,0.17940467596054077,0.1321706920862198,0.42398351430892944,0.78351891040802,0.5638879781768867,0.15845021215463878,123
